Function,Basis,System,BasFunc,Input,Reference,RelVal
bhhlyp,def2-svpd,C,20,-10.7255,-10.7658,0.08
bhhlyp,def2-svpd,F,23,-25.3909,-25.4317,0.53
bhhlyp,def2-svpd,Li,12,-2.2011,-2.1679,0.00
bhhlyp,def2-svpd,N,20,-14.9058,-14.9587,0.17
bhhlyp,def2-svpd,Ne,23,-31.6837,-31.7230,0.84
bhhlyp,def2-svpd,O,23,-19.8495,-19.8893,0.31
bhhlyp,def2-tzvp,B,31,-7.1734,-7.1960,0.03
bhhlyp,def2-tzvp,Be,19,-4.3374,-4.3361,0.01
bhhlyp,def2-tzvp,C,31,-10.7287,-10.7658,0.08
bhhlyp,def2-tzvp,F,31,-25.3739,-25.4317,0.53
bhhlyp,def2-tzvp,Li,14,-2.2001,-2.1679,0.00
bhhlyp,def2-tzvp,N,31,-14.9126,-14.9587,0.17
bhhlyp,def2-tzvp,Ne,31,-31.6626,-31.7230,0.84
bhhlyp,def2-tzvp,O,31,-19.8334,-19.8893,0.31
bhhlyp,def2-tzvpd,B,37,-7.1736,-7.1960,0.03
bhhlyp,def2-tzvpd,Be,22,-4.3374,-4.3361,0.01
bhhlyp,def2-tzvpd,C,37,-10.7288,-10.7658,0.08
bhhlyp,def2-tzvpd,F,40,-25.3786,-25.4317,0.53
bhhlyp,def2-tzvpd,Li,17,-2.2000,-2.1679,0.00
bhhlyp,def2-tzvpd,N,37,-14.9128,-14.9587,0.17
bhhlyp,def2-tzvpd,Ne,40,-31.6685,-31.7230,0.84
bhhlyp,def2-tzvpd,O,40,-19.8378,-19.8893,0.31
cam-b3lyp,631G,B,9,-6.8974,-7.1960,0.03
cam-b3lyp,631G,Be,9,-4.1352,-4.3361,0.01
cam-b3lyp,631G,C,9,-10.3876,-10.7658,0.08
cam-b3lyp,631G,F,9,-24.8186,-25.4317,0.53
cam-b3lyp,631G,Li,9,-2.0888,-2.1679,0.00
cam-b3lyp,631G,N,9,-14.5200,-14.9587,0.17
cam-b3lyp,631G,Ne,9,-31.0239,-31.7230,0.84
cam-b3lyp,631G,O,9,-19.3658,-19.8893,0.31
cam-b3lyp,aug-cc-pvdz,B,23,-6.9275,-7.1960,0.03
cam-b3lyp,aug-cc-pvdz,Be,23,-4.1597,-4.3361,0.01
cam-b3lyp,aug-cc-pvdz,C,23,-10.4184,-10.7658,0.08
cam-b3lyp,aug-cc-pvdz,F,23,-24.8651,-25.4317,0.53
cam-b3lyp,aug-cc-pvdz,Li,23,-2.0968,-2.1679,0.00
cam-b3lyp,aug-cc-pvdz,N,23,-14.5389,-14.9587,0.17
