Function,Basis,System,BasFunc,Input,Reference,RelVal
cam-b3lyp,aug-cc-pvdz,B,23,-6.9275,-7.1960,0.03
cam-b3lyp,aug-cc-pvdz,Be,23,-4.1597,-4.3361,0.01
cam-b3lyp,aug-cc-pvdz,C,23,-10.4184,-10.7658,0.08
cam-b3lyp,aug-cc-pvdz,F,23,-24.8651,-25.4317,0.53
cam-b3lyp,aug-cc-pvdz,Li,23,-2.0968,-2.1679,0.00
cam-b3lyp,aug-cc-pvdz,N,23,-14.5389,-14.9587,0.17
cam-b3lyp,aug-cc-pvdz,Ne,23,-31.0853,-31.7230,0.84
cam-b3lyp,aug-cc-pvdz,O,23,-19.3901,-19.8893,0.31
cam-b3lyp,aug-cc-pvtz,B,46,-6.9223,-7.1960,0.03
cam-b3lyp,aug-cc-pvtz,Be,46,-4.1566,-4.3361,0.01
cam-b3lyp,aug-cc-pvtz,C,46,-10.4062,-10.7658,0.08
cam-b3lyp,aug-cc-pvtz,F,46,-24.8387,-25.4317,0.53
cam-b3lyp,aug-cc-pvtz,Li,46,-2.0939,-2.1679,0.00
cam-b3lyp,aug-cc-pvtz,N,46,-14.5208,-14.9587,0.17
cam-b3lyp,aug-cc-pvtz,Ne,46,-31.0521,-31.7230,0.84
cam-b3lyp,aug-cc-pvtz,O,46,-19.3677,-19.8893,0.31
cam-b3lyp,def2-tzvpd,B,37,-6.9182,-7.1960,0.03
cam-b3lyp,def2-tzvpd,Be,22,-4.1538,-4.3361,0.01
cam-b3lyp,def2-tzvpd,C,37,-10.3998,-10.7658,0.08
cam-b3lyp,def2-tzvpd,F,40,-24.8347,-25.4317,0.53
cam-b3lyp,def2-tzvpd,Li,17,-2.0961,-2.1679,0.00
cam-b3lyp,def2-tzvpd,N,37,-14.5127,-14.9587,0.17
cam-b3lyp,def2-tzvpd,Ne,40,-31.0481,-31.7230,0.84
cam-b3lyp,def2-tzvpd,O,40,-19.3646,-19.8893,0.31
cam-b3lyp,def2-sv_p,B,14,-6.9193,-7.1960,0.03
cam-b3lyp,def2-sv_p,Be,9,-4.1561,-4.3361,0.01
cam-b3lyp,def2-sv_p,C,14,-10.3945,-10.7658,0.08
cam-b3lyp,def2-sv_p,F,14,-24.8141,-25.4317,0.53
cam-b3lyp,def2-sv_p,Li,9,-2.0933,-2.1679,0.00
cam-b3lyp,def2-sv_p,N,14,-14.5033,-14.9587,0.17
