Function,Basis,System,BasFunc,Input,Reference,RelVal
cam-b3lyp,def2-sv_p,Mg,18,-46.8970,-48.1327,0.53
cam-b3lyp,def2-sv_p,Na,15,-38.5311,-39.6027,0.00
cam-b3lyp,def2-sv_p,P,18,-77.1577,-79.1125,0.17
cam-b3lyp,def2-sv_p,S,18,-88.9659,-91.1921,0.84
cam-b3lyp,def2-sv_p,Si,18,-66.2191,-67.9264,0.31
pbe0,631G,Al,13,-56.1795,-57.5780,0.03
pbe0,631G,Ar,13,-115.26825,-117.92785,0.01
pbe0,631G,Cl,13,-101.74215,-104.11151,0.08
pbe0,631G,Mg,13,-46.9176,-48.1327,0.53
pbe0,631G,Na,13,-38.5939,-39.6027,0.00
pbe0,631G,P,13,-77.2655,-79.1125,0.17
pbe0,631G,S,13,-89.0906,-91.1921,0.84
pbe0,631G,Si,13,-66.3063,-67.9264,0.31
pbe0,aug-cc-pvdz,Al,27,-56.1957,-57.5780,0.03
pbe0,aug-cc-pvdz,Ar,27,-115.28861,-117.92785,0.01
pbe0,aug-cc-pvdz,Cl,27,-101.76452,-104.11151,0.08
pbe0,aug-cc-pvdz,Mg,27,-46.9290,-48.1327,0.53
pbe0,aug-cc-pvdz,Na,27,-38.5761,-39.6027,0.00
pbe0,aug-cc-pvdz,P,27,-77.2911,-79.1125,0.17
pbe0,aug-cc-pvdz,S,27,-89.1160,-91.1921,0.84
pbe0,aug-cc-pvdz,Si,27,-66.3321,-67.9264,0.31
pbe0,aug-cc-pvtz,Al,50,-56.1976,-57.5780,0.03
pbe0,aug-cc-pvtz,Ar,50,-115.30678,-117.92785,0.01
pbe0,aug-cc-pvtz,Cl,50,-101.78038,-104.11151,0.08
pbe0,aug-cc-pvtz,Mg,50,-46.9432,-48.1327,0.53
pbe0,aug-cc-pvtz,Na,50,-38.5923,-39.6027,0.00
pbe0,aug-cc-pvtz,P,50,-77.2965,-79.1125,0.17
pbe0,aug-cc-pvtz,S,50,-89.1254,-91.1921,0.84
pbe0,aug-cc-pvtz,Si,50,-66.3333,-67.9264,0.31
pbe0,def2-tzvpd,Al,43,-56.1746,-57.5780,0.03
pbe0,def2-tzvpd,Ar,46,-115.27499,-117.92785,0.01
pbe0,def2-tzvpd,Cl,46,-101.74941,-104.11151,0.08
pbe0,def2-tzvpd,Mg,35,-46.9294,-48.1327,0.53
pbe0,def2-tzvpd,Na,35,-38.5852,-39.6027,0.00
pbe0,def2-tzvpd,P,43,-77.2663,-79.1125,0.17
pbe0,def2-tzvpd,S,46,-89.0957,-91.1921,0.84
pbe0,def2-tzvpd,Si,43,-66.3095,-67.9264,0.31
pbe0,def2-sv_p,Al,18,-56.1648,-57.5780,0.03
pbe0,def2-sv_p,Ar,18,-115.22628,-117.92785,0.01
pbe0,def2-sv_p,Cl,18,-101.70835,-104.11151,0.08
pbe0,def2-sv_p,Mg,18,-46.9333,-48.1327,0.53
pbe0,def2-sv_p,Na,15,-38.5602,-39.6027,0.00
pbe0,def2-sv_p,P,18,-77.2367,-79.1125,0.17
pbe0,def2-sv_p,S,18,-89.0587,-91.1921,0.84
pbe0,def2-sv_p,Si,18,-66.2850,-67.9264,0.31
