Function,Basis,System,BasFunc,Input,Reference,RelVal
b3lyp,631G,Al,13,-56.0576,-57.5780,3.61
b3lyp,631G,Ar,13,-115.08599,-117.92785,12.98
b3lyp,631G,Cl,13,-101.57210,-104.11151,10.44
b3lyp,631G,Mg,13,-46.8084,-48.1327,2.67
b3lyp,631G,Na,13,-38.4982,-39.6027,1.89
b3lyp,631G,P,13,-77.1186,-79.1125,6.50
b3lyp,631G,S,13,-88.9320,-91.1921,8.29
b3lyp,631G,Si,13,-66.1713,-67.9264,4.97
b3lyp,aug-cc-pvdz,Al,27,-56.0748,-57.5780,3.61
b3lyp,aug-cc-pvdz,Ar,27,-115.10746,-117.92785,12.98
b3lyp,aug-cc-pvdz,Cl,27,-101.59504,-104.11151,10.44
b3lyp,aug-cc-pvdz,Mg,27,-46.8201,-48.1327,2.67
b3lyp,aug-cc-pvdz,Na,27,-38.4796,-39.6027,1.89
b3lyp,aug-cc-pvdz,P,27,-77.1454,-79.1125,6.50
b3lyp,aug-cc-pvdz,S,27,-88.9579,-91.1921,8.29
b3lyp,aug-cc-pvdz,Si,27,-66.1986,-67.9264,4.97
b3lyp,aug-cc-pvtz,Al,50,-56.0749,-57.5780,3.61
b3lyp,aug-cc-pvtz,Ar,50,-115.12158,-117.92785,12.98
b3lyp,aug-cc-pvtz,Cl,50,-101.60764,-104.11151,10.44
b3lyp,aug-cc-pvtz,Mg,50,-46.8352,-48.1327,2.67
b3lyp,aug-cc-pvtz,Na,50,-38.4981,-39.6027,1.89
b3lyp,aug-cc-pvtz,P,50,-77.1490,-79.1125,6.50
b3lyp,aug-cc-pvtz,S,50,-88.9652,-91.1921,8.29
b3lyp,aug-cc-pvtz,Si,50,-66.1983,-67.9264,4.97
b3lyp,def2-sv_p,Al,18,-56.0414,-57.5780,3.61
b3lyp,def2-sv_p,Ar,18,-115.03618,-117.92785,12.98
b3lyp,def2-sv_p,Cl,18,-101.53171,-104.11151,10.44
b3lyp,def2-sv_p,Mg,18,-46.8245,-48.1327,2.67
b3lyp,def2-sv_p,Na,15,-38.4593,-39.6027,1.89
b3lyp,def2-sv_p,P,18,-77.0864,-79.1125,6.50
b3lyp,def2-sv_p,S,18,-88.8948,-91.1921,8.29
b3lyp,def2-sv_p,Si,18,-66.1477,-67.9264,4.97
b3lyp,def2-svpd,Al,24,-56.0437,-57.5780,3.61
b3lyp,def2-svpd,Ar,27,-115.07525,-117.92785,12.98
b3lyp,def2-svpd,Cl,27,-101.56301,-104.11151,10.44
b3lyp,def2-svpd,Mg,21,-46.8240,-48.1327,2.67
b3lyp,def2-svpd,Na,18,-38.4658,-39.6027,1.89
b3lyp,def2-svpd,P,24,-77.0896,-79.1125,6.50
b3lyp,def2-svpd,S,27,-88.9240,-91.1921,8.29
b3lyp,def2-svpd,Si,24,-66.1502,-67.9264,4.97
b3lyp,def2-tzvp,Al,37,-56.0439,-57.5780,3.61
b3lyp,def2-tzvp,Ar,37,-115.07988,-117.92785,12.98
b3lyp,def2-tzvp,Cl,37,-101.56787,-104.11151,10.44
b3lyp,def2-tzvp,Mg,32,-46.8205,-48.1327,2.67
b3lyp,def2-tzvp,Na,32,-38.4889,-39.6027,1.89
b3lyp,def2-tzvp,P,37,-77.1130,-79.1125,6.50
b3lyp,def2-tzvp,S,37,-88.9266,-91.1921,8.29
b3lyp,def2-tzvp,Si,37,-66.1689,-67.9264,4.97
b3lyp,def2-tzvpd,Al,43,-56.0442,-57.5780,3.61
b3lyp,def2-tzvpd,Ar,46,-115.08467,-117.92785,12.98
b3lyp,def2-tzvpd,Cl,46,-101.57196,-104.11151,10.44
b3lyp,def2-tzvpd,Mg,35,-46.8205,-48.1327,2.67
b3lyp,def2-tzvpd,Na,35,-38.4888,-39.6027,1.89
b3lyp,def2-tzvpd,P,43,-77.1134,-79.1125,6.50
b3lyp,def2-tzvpd,S,46,-88.9308,-91.1921,8.29
b3lyp,def2-tzvpd,Si,43,-66.1692,-67.9264,4.97
bhhlyp,631G,Al,13,-56.9932,-57.5780,3.61
bhhlyp,631G,Ar,13,-116.43324,-117.92785,12.98
bhhlyp,631G,Cl,13,-102.83586,-104.11151,10.44
bhhlyp,631G,Mg,13,-47.6619,-48.1327,2.67
bhhlyp,631G,Na,13,-39.2709,-39.6027,1.89
bhhlyp,631G,P,13,-78.2182,-79.1125,6.50
bhhlyp,631G,S,13,-90.1146,-91.1921,8.29
bhhlyp,631G,Si,13,-67.1892,-67.9264,4.97
bhhlyp,aug-cc-pvdz,Al,27,-57.0089,-57.5780,3.61
bhhlyp,aug-cc-pvdz,Ar,27,-116.45208,-117.92785,12.98
bhhlyp,aug-cc-pvdz,Cl,27,-102.85625,-104.11151,10.44
bhhlyp,aug-cc-pvdz,Mg,27,-47.6738,-48.1327,2.67
bhhlyp,aug-cc-pvdz,Na,27,-39.2537,-39.6027,1.89
bhhlyp,aug-cc-pvdz,P,27,-78.2425,-79.1125,6.50
bhhlyp,aug-cc-pvdz,S,27,-90.1381,-91.1921,8.29
bhhlyp,aug-cc-pvdz,Si,27,-67.2147,-67.9264,4.97
bhhlyp,aug-cc-pvtz,Al,50,-57.0073,-57.5780,3.61
bhhlyp,aug-cc-pvtz,Ar,50,-116.46055,-117.92785,12.98
bhhlyp,aug-cc-pvtz,Cl,50,-102.86318,-104.11151,10.44
bhhlyp,aug-cc-pvtz,Mg,50,-47.6814,-48.1327,2.67
bhhlyp,aug-cc-pvtz,Na,50,-39.2629,-39.6027,1.89
bhhlyp,aug-cc-pvtz,P,50,-78.2411,-79.1125,6.50
bhhlyp,aug-cc-pvtz,S,50,-90.1399,-91.1921,8.29
bhhlyp,aug-cc-pvtz,Si,50,-67.2115,-67.9264,4.97
bhhlyp,def2-sv_p,Al,18,-56.9755,-57.5780,3.61
bhhlyp,def2-sv_p,Ar,18,-116.38435,-117.92785,12.98
bhhlyp,def2-sv_p,Cl,18,-102.79582,-104.11151,10.44
bhhlyp,def2-sv_p,Mg,18,-47.6772,-48.1327,2.67
bhhlyp,def2-sv_p,Na,15,-39.2377,-39.6027,1.89
bhhlyp,def2-sv_p,P,18,-78.1853,-79.1125,6.50
bhhlyp,def2-sv_p,S,18,-90.0774,-91.1921,8.29
bhhlyp,def2-sv_p,Si,18,-67.1652,-67.9264,4.97
bhhlyp,def2-svpd,Al,24,-56.9776,-57.5780,3.61
bhhlyp,def2-svpd,Ar,27,-116.41963,-117.92785,12.98
bhhlyp,def2-svpd,Cl,27,-102.82402,-104.11151,10.44
bhhlyp,def2-svpd,Mg,21,-47.6765,-48.1327,2.67
bhhlyp,def2-svpd,Na,18,-39.2429,-39.6027,1.89
bhhlyp,def2-svpd,P,24,-78.1879,-79.1125,6.50
bhhlyp,def2-svpd,S,27,-90.1039,-91.1921,8.29
bhhlyp,def2-svpd,Si,24,-67.1671,-67.9264,4.97
bhhlyp,def2-tzvp,Al,37,-56.9860,-57.5780,3.61
bhhlyp,def2-tzvp,Ar,37,-116.43324,-117.92785,12.98
bhhlyp,def2-tzvp,Cl,37,-102.83665,-104.11151,10.44
bhhlyp,def2-tzvp,Mg,32,-47.6709,-48.1327,2.67
bhhlyp,def2-tzvp,Na,32,-39.2559,-39.6027,1.89
bhhlyp,def2-tzvp,P,37,-78.2163,-79.1125,6.50
bhhlyp,def2-tzvp,S,37,-90.1139,-91.1921,8.29
bhhlyp,def2-tzvp,Si,37,-67.1906,-67.9264,4.97
